,sbj_id,id_learning_sen,target_order,complexity,target,n_of_fix,tot_dur_target,single_fix,gaze_dur_target
6429,42,2sf7,8,sf,zudulenza,7,1847,,401
6430,42,14sf10,6,sf,slibadario,6,1585,,1265
6431,42,15hf10,5,hf,cridolosto,7,1495,,675
6432,42,11sf5,6,sf,mernidista,10,2142,350.0,350
6433,42,1lf3,9,lf,rugobespa,9,2095,,636
6434,42,3hf2,8,hf,mudegondo,10,2654,,453
6435,42,11sf9,7,sf,mernidista,6,1209,,445
6436,42,3hf9,9,hf,mudegondo,5,1292,,526
6437,42,10lf7,8,lf,cribotasio,8,1841,,599
6438,42,9hf4,9,hf,"cettobento,",8,1807,,854
6439,42,5sf5,6,sf,vutuvizia,7,1584,,966
6440,42,12hf5,8,hf,"pubbanallo,",6,1309,,521
6441,42,10lf6,9,lf,cribotasio:,5,1166,,611
6442,42,12hf4,9,hf,"pubbanallo,",7,2144,,544
6443,42,15hf4,6,hf,cridolosto,7,1468,,862
6444,42,14sf9,7,sf,slibadario,12,2650,,604
6445,42,5sf6,7,sf,vutuvizia,1,558,558.0,558
6446,42,17sf1,10,sf,vugipismo,5,1285,328.0,328
6447,42,2sf5,9,sf,zudulenza,7,1681,,610
6448,42,4lf7,8,lf,"ceburolmo,",9,2206,,1353
6449,42,15hf5,7,hf,cridolosto,5,939,,622
6450,42,11sf7,8,sf,mernidista,10,2672,,1211
6451,42,1lf8,10,lf,rugobespa:,4,1027,,522
6452,42,14sf2,8,sf,slibadario,8,1707,151.0,151
6453,42,9hf6,10,hf,"cettobento,",6,1172,145.0,145
6454,42,3hf6,10,hf,mudegondo,7,1581,,323
6455,42,6hf7,9,hf,tobufenso,10,2237,,661
6456,42,14sf5,9,sf,slibadario,7,2177,,604
6457,42,15hf1,8,hf,cridolosto,3,612,,612
6458,42,15hf8,9,hf,cridolosto,4,1038,,436
6459,42,15hf9,10,hf,cridolosto:,4,1093,,503
6460,42,13lf5,9,lf,"dorguvinna,",2,828,,828
6461,42,10lf9,10,lf,cribotasio:,8,1621,,701
6462,42,5sf7,8,sf,vutuvizia,2,655,,655
6463,42,14sf4,10,sf,slibadario,16,3389,,718
